,LinearDiscriminantAnalysis + MiniBatchKMeans,NuSVC + MiniBatchKMeans,KNeighborsClassifier + MiniBatchKMeans,LinearDiscriminantAnalysis + Birch,NuSVC + Birch,KNeighborsClassifier + Birch
0,0.6,0.8,0.7,0.55,0.6,0.55
1,0.35,0.45,0.3,0.3,0.45,0.4
2,0.5,0.55,0.45,0.65,0.4,0.35
3,0.5,0.5,0.6,0.6,0.55,0.45
4,0.6,0.8,0.75,0.65,0.7,0.5
5,0.526,0.632,0.421,0.579,0.632,0.474
6,0.368,0.579,0.579,0.684,0.737,0.421
7,0.421,0.474,0.421,0.316,0.579,0.526
8,0.421,0.579,0.526,0.632,0.474,0.368
9,0.474,0.684,0.579,0.263,0.368,0.316
