,LinearDiscriminantAnalysis Acc,NuSVC Acc,KNeighborsClassifier Acc,LinearDiscriminantAnalysis Loss,NuSVC Loss,KNeighborsClassifier Loss
0,0.625,0.75,0.3125,0.9895516531495903,0.964018540484056,1.0421516385718113
1,0.6875,0.75,0.6875,1.1723612680794677,0.9601880343818192,0.9276152970875411
2,0.4375,0.4375,0.5,2.9168102438916907,1.1714023741703259,3.2643856819804533
3,0.75,0.5625,0.375,1.6785547897634703,0.9437575000988152,0.9942134521792176
4,0.5,0.625,0.3125,1.57650426858222,0.9584702534012136,3.0356056832559393
5,0.5625,0.5625,0.5625,1.7468700875943026,0.9019875489454294,3.0274535486803176
6,0.3125,0.625,0.5625,2.9798259947219217,1.1836882729608451,3.224599630163481
7,0.4375,0.625,0.5,2.167212751681422,0.9157638711248819,0.9949898596791273
8,0.5625,0.5,0.5,1.3618661840285284,0.9555702001979881,5.070884856464293
9,0.4666666666666667,0.6,0.6666666666666666,2.2498655565633983,1.0311553427065168,3.022841222668176
